Province_name,Country_name
Australian Capital Territory,Australia
New South Wales,Australia
Northern Territory,Australia
Queensland,Australia
South Australia,Australia
Tasmania,Australia
Victoria,Australia
Western Australia,Australia
Alberta,Canada
British Columbia,Canada
Diamond Princess,Canada
Grand Princess,Canada
Manitoba,Canada
New Brunswick,Canada
Newfoundland and Labrador,Canada
Northwest Territories,Canada
Nova Scotia,Canada
Nunavut,Canada
Ontario,Canada
Prince Edward Island,Canada
Quebec,Canada
Repatriated Travellers,Canada
Saskatchewan,Canada
Yukon,Canada
Anhui,China
Beijing,China
Chongqing,China
Fujian,China
Gansu,China
Guangdong,China
Guangxi,China
Guizhou,China
Hainan,China
Hebei,China
Heilongjiang,China
Henan,China
Hong Kong,China
Hubei,China
Hunan,China
Inner Mongolia,China
Jiangsu,China
Jiangxi,China
Jilin,China
Liaoning,China
Macau,China
Ningxia,China
Qinghai,China
Shaanxi,China
Shandong,China
Shanghai,China
Shanxi,China
Sichuan,China
Tianjin,China
Tibet,China
Xinjiang,China
Yunnan,China
Zhejiang,China
Faroe Islands,Denmark
Greenland,Denmark
French Guiana,France
French Polynesia,France
Guadeloupe,France
Martinique,France
Mayotte,France
New Caledonia,France
Reunion,France
Saint Barthelemy,France
Saint Pierre and Miquelon,France
St Martin,France
Aruba,Netherlands
"Bonaire, Sint Eustatius and Saba",Netherlands
Curacao,Netherlands
Sint Maarten,Netherlands
Anguilla,United Kingdom
Bermuda,United Kingdom
British Virgin Islands,United Kingdom
Cayman Islands,United Kingdom
Channel Islands,United Kingdom
Falkland Islands (Malvinas),United Kingdom
Gibraltar,United Kingdom
Isle of Man,United Kingdom
Montserrat,United Kingdom
Turks and Caicos Islands,United Kingdom
